"","X","researcher","hourdate_HOBO","hour_ELITECH","temp","humidity","pendant_id","lat","long","region","site_code","sensor_pendant","rep","intensity.Ephedra.californica","intensity.triangle","intensity.square","intensity.open"
"48",48,"ng","04/22/23 02:00:00  PM","",42.878,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,4352,2688,2176,2560
"49",49,"ng","04/22/23 03:00:00  PM","",45.076,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,3712,3328,1728,2560
"50",50,"ng","04/22/23 04:00:00  PM","",45.452,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,4608,3072,1536,2432
"51",51,"ng","04/22/23 05:00:00  PM","",43.238,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,4352,2432,1344,2048
"52",52,"ng","04/22/23 06:00:00  PM","",37.824,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,3456,2560,1344,1280
"53",53,"ng","04/22/23 07:00:00  PM","",21.378,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,288,1344,320,208
"54",54,"ng","04/22/23 08:00:00  PM","",11.528,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"55",55,"ng","04/22/23 09:00:00  PM","",8.68,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"56",56,"ng","04/22/23 10:00:00  PM","",7.582,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"57",57,"ng","04/22/23 11:00:00  PM","",7.381,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"58",58,"ng","04/23/23 12:00:00  AM","",7.079,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"59",59,"ng","04/23/23 01:00:00  AM","",5.757,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"60",60,"ng","04/23/23 02:00:00  AM","",6.471,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"61",61,"ng","04/23/23 03:00:00  AM","",5.141,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"62",62,"ng","04/23/23 04:00:00  AM","",4.311,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"63",63,"ng","04/23/23 05:00:00  AM","",4.519,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"64",64,"ng","04/23/23 06:00:00  AM","",3.683,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,1,2,0
"65",65,"ng","04/23/23 07:00:00  AM","",5.45,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,119,2048,4096,216
"66",66,"ng","04/23/23 08:00:00  AM","",9.866,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,272,4864,7680,1024
"67",67,"ng","04/23/23 09:00:00  AM","",14.996,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,672,6400,9216,1920
"68",68,"ng","04/23/23 10:00:00  AM","",26.585,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,1024,6144,9216,2176
"69",69,"ng","04/23/23 11:00:00  AM","",30.76,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,2176,5632,4608,2304
"70",70,"ng","04/23/23 12:00:00  PM","",36.946,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,3200,4608,3712,2432
"71",71,"ng","04/23/23 01:00:00  PM","",40.415,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,3712,3840,3200,2560
"72",72,"ng","04/23/23 02:00:00  PM","",43.48,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,4096,2048,2176,2688
"73",73,"ng","04/23/23 03:00:00  PM","",45.577,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,4352,3072,1792,2688
"74",74,"ng","04/23/23 04:00:00  PM","",45.703,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,3328,3072,1536,2432
"75",75,"ng","04/23/23 05:00:00  PM","",43.601,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,3968,2816,1344,2048
"76",76,"ng","04/23/23 06:00:00  PM","",37.935,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,2304,2432,1344,1344
"77",77,"ng","04/23/23 07:00:00  PM","",21.282,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,320,960,304,224
"78",78,"ng","04/23/23 08:00:00  PM","",11.722,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"79",79,"ng","04/23/23 09:00:00  PM","",9.669,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"80",80,"ng","04/23/23 10:00:00  PM","",8.182,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"81",81,"ng","04/23/23 11:00:00  PM","",10.161,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"82",82,"ng","04/24/23 12:00:00  AM","",6.471,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"83",83,"ng","04/24/23 01:00:00  AM","",5.552,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"84",84,"ng","04/24/23 02:00:00  AM","",5.037,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"85",85,"ng","04/24/23 03:00:00  AM","",3.998,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"86",86,"ng","04/24/23 04:00:00  AM","",3.367,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"87",87,"ng","04/24/23 05:00:00  AM","",3.155,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"88",88,"ng","04/24/23 06:00:00  AM","",5.45,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,1,0
"89",89,"ng","04/24/23 07:00:00  AM","",5.244,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,128,2304,4352,216
"90",90,"ng","04/24/23 08:00:00  AM","",10.846,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,272,4608,7680,1216
"91",91,"ng","04/24/23 09:00:00  AM","",15.951,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,672,6144,9216,2048
"92",92,"ng","04/24/23 10:00:00  AM","",26.879,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,1152,6912,9216,2176
"93",93,"ng","04/24/23 11:00:00  AM","",30.255,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,2048,5888,4864,2304
"94",94,"ng","04/24/23 12:00:00  PM","",38.602,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,3200,4864,3968,2432
"95",95,"ng","04/24/23 01:00:00  PM","",41.928,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,3840,3200,2816,2560
"96",96,"ng","04/24/23 02:00:00  PM","",43.723,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,4096,2176,2176,2560
"97",97,"ng","04/24/23 03:00:00  PM","",45.829,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,4352,3584,1728,2688
"98",98,"ng","04/24/23 04:00:00  PM","",45.703,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,3584,3200,1600,2560
"99",99,"ng","04/24/23 05:00:00  PM","",42.52,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,3840,2816,1408,2176
"100",100,"ng","04/24/23 06:00:00  PM","",36.511,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,2048,2432,1344,1344
"101",101,"ng","04/24/23 07:00:00  PM","",20.805,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,352,1088,336,240
"102",102,"ng","04/24/23 08:00:00  PM","",12.594,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"103",103,"ng","04/24/23 09:00:00  PM","",10.357,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"104",104,"ng","04/24/23 10:00:00  PM","",6.471,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"105",105,"ng","04/24/23 11:00:00  PM","",5.45,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"106",106,"ng","04/25/23 12:00:00  AM","",5.244,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"107",107,"ng","04/25/23 01:00:00  AM","",4.311,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"108",108,"ng","04/25/23 02:00:00  AM","",3.788,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"109",109,"ng","04/25/23 03:00:00  AM","",2.624,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"110",110,"ng","04/25/23 04:00:00  AM","",2.195,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"111",111,"ng","04/25/23 05:00:00  AM","",1.98,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"112",112,"ng","04/25/23 06:00:00  AM","",1.872,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,4,6,0
"113",113,"ng","04/25/23 07:00:00  AM","",3.788,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,144,2304,3840,288
"114",114,"ng","04/25/23 08:00:00  AM","",8.978,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,304,4608,7680,1280
"115",115,"ng","04/25/23 09:00:00  AM","",14.517,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,672,6400,9216,2048
"116",116,"ng","04/25/23 10:00:00  AM","",27.272,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,1216,5632,9216,2176
"117",117,"ng","04/25/23 11:00:00  AM","",30.76,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,1536,6912,9216,2304
"118",118,"ng","04/25/23 12:00:00  PM","",37.935,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,3200,5376,4096,2304
"119",119,"ng","04/25/23 01:00:00  PM","",41.225,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,3968,3328,3328,2560
"120",120,"ng","04/25/23 02:00:00  PM","",44.828,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,4096,2560,2304,2688
"121",121,"ng","04/25/23 03:00:00  PM","",45.703,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,4096,3200,1856,2176
"122",122,"ng","04/25/23 04:00:00  PM","",45.326,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,4608,3456,1792,2432
"123",123,"ng","04/25/23 05:00:00  PM","",39.843,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,2688,2176,1152,1920
"124",124,"ng","04/25/23 06:00:00  PM","",36.946,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,1920,2688,1536,1216
"125",125,"ng","04/25/23 07:00:00  PM","",21.951,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,384,1472,384,288
"126",126,"ng","04/25/23 08:00:00  PM","",8.779,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"127",127,"ng","04/25/23 09:00:00  PM","",7.782,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"128",128,"ng","04/25/23 10:00:00  PM","",5.45,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"129",129,"ng","04/25/23 11:00:00  PM","",5.037,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"130",130,"ng","04/26/23 12:00:00  AM","",4.102,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"131",131,"ng","04/26/23 01:00:00  AM","",3.049,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"132",132,"ng","04/26/23 02:00:00  AM","",3.261,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"133",133,"ng","04/26/23 03:00:00  AM","",3.472,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"134",134,"ng","04/26/23 04:00:00  AM","",2.837,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"135",135,"ng","04/26/23 05:00:00  AM","",2.303,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"136",136,"ng","04/26/23 06:00:00  AM","",2.943,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,7,9,1
"137",137,"ng","04/26/23 07:00:00  AM","",5.141,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,136,2688,4096,248
"138",138,"ng","04/26/23 08:00:00  AM","",10.161,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,272,4864,7936,1280
"139",139,"ng","04/26/23 09:00:00  AM","",16.999,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,768,5632,9216,2048
"140",140,"ng","04/26/23 10:00:00  AM","",30.963,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,1024,5888,9216,2304
"141",141,"ng","04/26/23 11:00:00  AM","",35.222,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,1728,9728,9216,2304
"142",142,"ng","04/26/23 12:00:00  PM","",42.164,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,3200,5632,3712,2304
"143",143,"ng","04/26/23 01:00:00  PM","",45.452,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,3840,3584,3456,2432
"144",144,"ng","04/26/23 02:00:00  PM","",48.155,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,4352,3072,2048,2560
"145",145,"ng","04/26/23 03:00:00  PM","",49.905,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,4608,2688,1792,2560
"146",146,"ng","04/26/23 04:00:00  PM","",48.687,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,4352,3072,1536,2432
"147",147,"ng","04/26/23 05:00:00  PM","",45.326,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,3328,2816,1408,2048
"148",148,"ng","04/26/23 06:00:00  PM","",39.615,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,2432,2432,1408,1344
"149",149,"ng","04/26/23 07:00:00  PM","",24.255,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,352,1280,352,256
"150",150,"ng","04/26/23 08:00:00  PM","",13.558,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"151",151,"ng","04/26/23 09:00:00  PM","",10.357,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"152",152,"ng","04/26/23 10:00:00  PM","",8.68,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"153",153,"ng","04/26/23 11:00:00  PM","",7.983,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"154",154,"ng","04/27/23 12:00:00  AM","",6.775,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"155",155,"ng","04/27/23 01:00:00  AM","",6.674,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"156",156,"ng","04/27/23 02:00:00  AM","",5.86,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"157",157,"ng","04/27/23 03:00:00  AM","",5.655,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"158",158,"ng","04/27/23 04:00:00  AM","",5.552,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"159",159,"ng","04/27/23 05:00:00  AM","",6.471,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"160",160,"ng","04/27/23 06:00:00  AM","",6.064,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,6,8,1
"161",161,"ng","04/27/23 07:00:00  AM","",7.582,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,126,2816,4608,232
"162",162,"ng","04/27/23 08:00:00  AM","",12.594,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,272,4608,7936,1152
"163",163,"ng","04/27/23 09:00:00  AM","",21.76,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,608,5632,9216,1920
"164",164,"ng","04/27/23 10:00:00  AM","",32.911,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,1280,6144,9216,2048
"165",165,"ng","04/27/23 11:00:00  AM","",35.756,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,1600,5376,8192,2176
"166",166,"ng","04/27/23 12:00:00  PM","",44.089,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,3328,4096,4096,2432
"167",167,"ng","04/27/23 01:00:00  PM","",47.238,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,3840,2944,3072,2304
"168",168,"ng","04/27/23 02:00:00  PM","",50.874,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,3328,2816,2048,2560
"169",169,"ng","04/27/23 03:00:00  PM","",50.456,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,2560,3072,1728,2560
"170",170,"ng","04/27/23 04:00:00  PM","",50.042,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,2304,3456,1536,2432
"171",171,"ng","04/27/23 05:00:00  PM","",47.892,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,3840,2816,1344,2048
"172",172,"ng","04/27/23 06:00:00  PM","",42.282,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,3200,2432,1408,1152
