unique.bird,bird.id,date,month,day,month.day.hour,season,walk,start.time,end.time,lat,lon,order,family,species,migratory.class,trophic.guild,behavior,broad.behavior,mesohabitat,two.mesohabitat,three.mesohabitat,five.mesohabitat,mesohabitat.height,photo.id,hour,time,distance,transect,transect.start.lat,transect.start.lon,transect.end.lat,transect.end.lon,notes
118flower,118,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34,-115,Passeriformes,Troglodytidae,Rock Wren,resident,insectivore,Singing,Territorial/mating,rock,non-vegetative,other,land,na,no photo,6,6:39,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
119flower,119,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34.78277,-115.6632,Columbiformes,Columbidae,Mourning Dove,resident,granivore,Standing on ground,Inactivity,rock,non-vegetative,other,land,na,no photo,6,6:44,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
119fruit,119,8/18/2019,8,18,8.18.6,summer,34,6:30,8:30,34.77986,-115.66251,Passeriformes,Passerellidae,Black.throated Sparrow,resident,granivore,Standing on plant,Inactivity,cactus,vegetative,cactus,cactus,25,no photo,6,7:56,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
11flower,11,5/1/2019,5,1,5.1.10,spring,1,10:27,12:27,34.78249,-115.66231,Unknown,Unknown,Unknown,unknown,Unknown,Flying on plant,Active movement,shrub,vegetative,shrub,shrub,na,15.21,10,11:02,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
11fruit,11,8/14/2019,8,14,8.14.17,summer,27,17:30,19:30,34.78042,-115.66277,Passeriformes,Passerellidae,Black.throated Sparrow,resident,granivore,Calling,Territorial/mating,yucca,vegetative,cactus,yucca,75,112-122,17,19:20,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
120fruit,120,8/18/2019,8,18,8.18.6,summer,34,6:30,8:30,34.77947,-115.66246,Passeriformes,Mimidae,Crissal Thrasher,resident,omnivore,Singing,Territorial/mating,yucca,vegetative,cactus,yucca,50,no photo,6,7:58,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
121fruit,121,8/18/2019,8,18,8.18.18,summer,35,18:00,20:00,34,-115,Passeriformes,Troglodytidae,Bewick's Wren,resident,insectivore,Flying between plants,Active movement,shrub,vegetative,shrub,shrub,25,no photo,18,18:05,1,2,34.78303,-115.66309,34.77856,-115.66449,no notes
122flower,122,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34.78263,-115.66328,Passeriformes,Fringillidae,House finch,resident,frugivore,Standing on plant,Inactivity,shrub,vegetative,shrub,shrub,na,199.202,6,6:29,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
124flower,124,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34.78264,-115.66289,Passeriformes,Ptiliogonatidae,Phainopepla,resident,frugivore,Foraging,Feeding,cactus canopy,vegetative,cactus,cactus,na,no photo,6,6:53,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
125flower,125,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34.78262,-115.66289,Passeriformes,Ptiliogonatidae,Phainopepla,resident,frugivore,Flying,Active movement,shrub,vegetative,shrub,shrub,na,no photo,6,6:53,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
125fruit,125,8/18/2019,8,18,8.18.18,summer,35,18:00,20:00,34.78185,-115.66349,Passeriformes,Passerellidae,Black.throated Sparrow,resident,granivore,Flying on plant,Active movement,shrub,vegetative,shrub,shrub,50,no photo,18,18:48,1,2,34.78303,-115.66309,34.77856,-115.66449,no notes
126flower,126,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34.78279,-115.66282,Passeriformes,Passerellidae,Green.tailed Towhee,migrant,omnivore,Standing on plant,Inactivity,shrub,vegetative,shrub,shrub,na,203.214,6,6:55,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
126fruit,126,8/18/2019,8,18,8.18.18,summer,35,18:00,20:00,34.78185,-115.66349,Passeriformes,Passerellidae,Black.throated Sparrow,resident,granivore,Flying between plants,Active movement,shrub,vegetative,shrub,shrub,50,no photo,18,18:51,1,2,34.78303,-115.66309,34.77856,-115.66449,no notes
127flower,127,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34,-115,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Sparring,Territorial/mating,shrub,vegetative,shrub,shrub,na,no photo,6,6:56,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
127fruit,127,8/18/2019,8,18,8.18.18,summer,35,18:00,20:00,34.78185,-115.66349,Passeriformes,Passerellidae,Black.throated Sparrow,resident,granivore,Flying between plants,Active movement,shrub,vegetative,shrub,shrub,50,no photo,18,18:51,1,2,34.78303,-115.66309,34.77856,-115.66449,no notes
128flower,128,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34,-115,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Sparring,Territorial/mating,shrub,vegetative,shrub,shrub,na,no photo,6,6:56,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
128fruit,128,8/18/2019,8,18,8.18.18,summer,35,18:00,20:00,34.78185,-115.66349,Passeriformes,Passerellidae,Black.throated Sparrow,resident,granivore,Flying between plants,Active movement,shrub,vegetative,shrub,shrub,50,no photo,18,18:51,1,2,34.78303,-115.66309,34.77856,-115.66449,no notes
129flower,129,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34.78285,-115.6628,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Sparring,Territorial/mating,cactus canopy,vegetative,cactus,cactus,na,no photo,6,7:03,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
129fruit,129,8/18/2019,8,18,8.18.18,summer,35,18:00,20:00,34.78185,-115.66349,Passeriformes,Passerellidae,Black.throated Sparrow,resident,granivore,Flying between plants,Active movement,shrub,vegetative,shrub,shrub,50,no photo,18,18:51,1,2,34.78303,-115.66309,34.77856,-115.66449,no notes
12flower,12,5/1/2019,5,1,5.1.10,spring,1,10:27,12:27,34.78225,-115.66197,Passeriformes,Ptiliogonatidae,Phainopepla,resident,frugivore,Standing on plant,Inactivity,shrub,vegetative,shrub,shrub,na,21.25,10,11:07,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
12fruit,12,8/14/2019,8,14,8.14.17,summer,27,17:30,19:30,34.78042,-115.66277,Passeriformes,Passerellidae,Black.throated Sparrow,resident,granivore,Calling,Territorial/mating,yucca,vegetative,cactus,yucca,75,112-122,17,19:20,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
130flower,130,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34.78285,-115.6628,Passeriformes,Polioptilidae,Black.tailed Gnatcatcher,resident,insectivore,Sparring,Territorial/mating,cactus canopy,vegetative,cactus,cactus,na,no photo,6,7:03,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
130fruit,130,8/18/2019,8,18,8.18.18,summer,35,18:00,20:00,34.78185,-115.66349,Passeriformes,Passerellidae,Black.throated Sparrow,resident,granivore,Flying between plants,Active movement,shrub,vegetative,shrub,shrub,50,no photo,18,18:51,1,2,34.78303,-115.66309,34.77856,-115.66449,no notes
134flower,134,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34.78246,-115.66362,Passeriformes,Mimidae,Crissal Thrasher,resident,omnivore,Standing on ground,Inactivity,rock,non-vegetative,other,land,na,no photo,6,7:19,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
135flower,135,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34,-115,Passeriformes,Passerellidae,Black.throated Sparrow,resident,granivore,Singing,Territorial/mating,rock,non-vegetative,other,land,na,no photo,6,7:20,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
136fruit,136,8/19/2019,8,19,8.19.6,summer,36,6:30,8:30,34.78104,-115.65354,Passeriformes,Passerellidae,Black.throated Sparrow,resident,granivore,Flying on plant,Active movement,cactus,vegetative,cactus,cactus,25,no photo,6,6:38,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
137flower,137,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34,-115,Apodiformes,Trochilidae,Unknown Hummingbird,summer resident,nectarivore,Flying,Active movement,air,non-vegetative,other,air,na,no photo,6,7:26,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
138fruit,138,8/19/2019,8,19,8.19.6,summer,36,6:30,8:30,34.78321,-115.66331,Passeriformes,Remezidae,Verdin,resident,insectivore,Singing,Territorial/mating,shrub,vegetative,shrub,shrub,50,no photo,6,6:58,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
139flower,139,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34.7821,-115.66351,Columbiformes,Columbidae,Mourning Dove,resident,granivore,Calling,Territorial/mating,rock,non-vegetative,other,land,na,no photo,6,7:30,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
139fruit,139,8/19/2019,8,19,8.19.6,summer,36,6:30,8:30,34.78269,-115.66316,Passeriformes,Passerellidae,Black.throated Sparrow,resident,granivore,Flying between plants,Active movement,shrub,vegetative,shrub,shrub,75,139-152,6,7:03,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
13flower,13,5/1/2019,5,1,5.1.10,spring,1,10:27,12:27,34.78205,-115.66205,Apodiformes,Trochilidae,Unknown Hummingbird,summer resident,nectarivore,Foraging,Feeding,cactus canopy,vegetative,cactus,cactus,na,no photo,10,11:08,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
13fruit,13,8/14/2019,8,14,8.14.17,summer,27,17:30,19:30,34.78042,-115.66277,Passeriformes,Passerellidae,Black.throated Sparrow,resident,granivore,Calling,Territorial/mating,yucca,vegetative,cactus,yucca,75,112-122,17,19:20,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
140fruit,140,8/19/2019,8,19,8.19.6,summer,36,6:30,8:30,34.78296,-115.66321,Passeriformes,Remezidae,Verdin,resident,insectivore,Flying between plants,Active movement,shrub,vegetative,shrub,shrub,50,no photo,6,7:06,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
141fruit,141,8/19/2019,8,19,8.19.6,summer,36,6:30,8:30,34.78259,-115.6633,Passeriformes,Passerellidae,Black.throated Sparrow,resident,granivore,Flying on plant,Active movement,cactus,vegetative,cactus,cactus,60,153-159,6,7:09,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
142fruit,142,8/19/2019,8,19,8.19.6,summer,36,6:30,8:30,34.78259,-115.6633,Passeriformes,Passerellidae,Black.throated Sparrow,resident,granivore,Flying on plant,Active movement,cactus,vegetative,cactus,cactus,60,153-159,6,7:09,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
143flower,143,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34.78139,-115.66357,Apodiformes,Trochilidae,Unknown Hummingbird,summer resident,nectarivore,Foraging,Feeding,shrub,vegetative,shrub,shrub,na,no photo,6,7:39,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
143fruit,143,8/19/2019,8,19,8.19.6,summer,36,6:30,8:30,34.78259,-115.6633,Passeriformes,Passerellidae,Black.throated Sparrow,resident,granivore,Flying on plant,Active movement,cactus,vegetative,cactus,cactus,60,153-159,6,7:09,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
144flower,144,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34,-115,Passeriformes,Mimidae,Northern Mockingbird,resident,omnivore,Singing,Territorial/mating,cactus canopy,vegetative,cactus,cactus,na,no photo,6,7:40,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
144fruit,144,8/19/2019,8,19,8.19.6,summer,36,6:30,8:30,34.78259,-115.6633,Passeriformes,Passerellidae,Black.throated Sparrow,resident,granivore,Flying on plant,Active movement,cactus,vegetative,cactus,cactus,60,153-159,6,7:09,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
145flower,145,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34.78102,-115.66364,Passeriformes,Passerellidae,Green.tailed Towhee,migrant,omnivore,Standing on ground,Inactivity,grass,vegetative,other,land,na,no photo,6,7:44,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
145fruit,145,8/19/2019,8,19,8.19.6,summer,36,6:30,8:30,34.78255,-115.66331,Passeriformes,Passerellidae,Black.throated Sparrow,resident,granivore,Walking,Active movement,gravel,non-vegetative,other,land,na,163-165,6,7:12,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
146fruit,146,8/19/2019,8,19,8.19.6,summer,36,6:30,8:30,34.78255,-115.66331,Passeriformes,Passerellidae,Black.throated Sparrow,resident,granivore,Walking,Active movement,gravel,non-vegetative,other,land,na,163-165,6,7:12,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
147flower,147,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34.78045,-115.66381,Passeriformes,Passerellidae,Black.throated Sparrow,resident,granivore,Calling,Territorial/mating,shrub,vegetative,shrub,shrub,na,no photo,6,7:50,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
148flower,148,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34.78045,-115.66381,Passeriformes,Passerellidae,Black.throated Sparrow,resident,granivore,Calling,Territorial/mating,shrub,vegetative,shrub,shrub,na,no photo,6,7:51,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
149flower,149,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34.78045,-115.66381,Passeriformes,Passerellidae,Black.throated Sparrow,resident,granivore,Flying between plants,Active movement,shrub,vegetative,shrub,shrub,na,no photo,6,7:51,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
14flower,14,5/1/2019,5,1,5.1.10,spring,1,10:27,12:27,34.782,-115.66183,Passeriformes,Mimidae,Northern Mockingbird,resident,frugivore,Standing on plant,Inactivity,shrub,vegetative,shrub,shrub,na,92.31,10,11:15,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
14fruit,14,8/14/2019,8,14,8.14.17,summer,27,17:30,19:30,34.78042,-115.66277,Passeriformes,Passerellidae,Black.throated Sparrow,resident,granivore,Calling,Territorial/mating,yucca,vegetative,cactus,yucca,75,112-122,17,19:20,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
150flower,150,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34.78045,-115.66381,Passeriformes,Passerellidae,Black.throated Sparrow,resident,granivore,Flying between plants,Active movement,shrub,vegetative,shrub,shrub,na,no photo,6,7:51,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
152flower,152,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34.78022,-115.6636,Columbiformes,Columbidae,Mourning Dove,resident,granivore,Calling,Territorial/mating,air,non-vegetative,other,air,na,no photo,6,7:58,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
153flower,153,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34.77996,-115.66391,Passeriformes,Tyrannidae,Hammond's Flycatcher,migrant,insectivore,Standing on plant,Inactivity,shrub,vegetative,shrub,shrub,na,260.274,6,8:05,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
156flower,156,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34.77985,-115.66386,Apodiformes,Trochilidae,Black.chinned hummingbird,migrant,nectarivore,Singing,Territorial/mating,shrub,vegetative,shrub,shrub,na,no photo,6,8:10,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
158flower,158,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34.77906,-115.66485,Passeriformes,Mimidae,Northern Mockingbird,resident,omnivore,Flying between plants,Active movement,shrub,vegetative,shrub,shrub,na,no photo,6,8:19,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
159flower,159,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34.77882,-115.66496,Passeriformes,Mimidae,Northern Mockingbird,resident,omnivore,Sparring,Territorial/mating,shrub,vegetative,shrub,shrub,na,no photo,6,8:20,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
15flower,15,5/1/2019,5,1,5.1.10,spring,1,10:27,12:27,34.78204,-115.66185,Unknown,Unknown,Unknown,unknown,Unknown,Standing on ground,Inactivity,rock,non-vegetative,other,land,na,32.39,10,11:18,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
15fruit,15,8/15/2019,8,15,8.15.9,summer,28,9:00,11:00,34.78272,-115.6632,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Flying between plants,Active movement,shrub,vegetative,shrub,shrub,50,no photo,9,9:02,1,2,34.78303,-115.66309,34.77856,-115.66449,no notes
160flower,160,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34,-115,Passeriformes,Passerellidae,Black.throated Sparrow,resident,granivore,Calling,Territorial/mating,shrub,vegetative,shrub,shrub,na,no photo,6,8:21,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
160fruit,160,8/19/2019,8,19,8.19.6,summer,36,6:30,8:30,34,-115,Passeriformes,Troglodytidae,Bewick's Wren,resident,insectivore,Flying on plant,Active movement,shrub,vegetative,shrub,shrub,75,190-198,6,7:50,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
161flower,161,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34,-115,Passeriformes,Passerellidae,Black.throated Sparrow,resident,granivore,Sparring,Territorial/mating,shrub,vegetative,shrub,shrub,na,no photo,6,8:21,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
162flower,162,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34.77856,-115.6641,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Calling,Territorial/mating,shrub,vegetative,shrub,shrub,na,281.282,6,8:24,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
162fruit,162,8/19/2019,8,19,8.19.6,summer,36,6:30,8:30,34.78094,-115.66417,Passeriformes,Laniidae,Loggerhead Shrike,resident,carnivore,Flying between plants,Active movement,shrub,vegetative,shrub,shrub,100,210-212,6,7:58,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
163flower,163,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34.77856,-115.6641,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Calling,Territorial/mating,shrub,vegetative,shrub,shrub,na,281.282,6,8:24,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
163fruit,163,8/19/2019,8,19,8.19.6,summer,36,6:30,8:30,34.78078,-115.66457,Passeriformes,Troglodytidae,Cactus Wren,resident,omnivore,Flying between plants,Active movement,shrub,vegetative,shrub,shrub,100,213-217,6,7:59,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
164flower,164,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34.77856,-115.6641,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Calling,Territorial/mating,shrub,vegetative,shrub,shrub,na,281.282,6,8:24,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
165flower,165,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34.77856,-115.6641,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Calling,Territorial/mating,shrub,vegetative,shrub,shrub,na,281.282,6,8:24,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
165fruit,165,8/19/2019,8,19,8.19.6,summer,36,6:30,8:30,34.77942,-115.66454,Passeriformes,Mimidae,Crissal Thrasher,resident,omnivore,Standing on plant,Inactivity,shrub,vegetative,shrub,shrub,100,no photo,6,8:11,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
166flower,166,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34.77856,-115.6641,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Calling,Territorial/mating,shrub,vegetative,shrub,shrub,na,281.282,6,8:24,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
166fruit,166,8/19/2019,8,19,8.19.6,summer,36,6:30,8:30,34.77933,-115.66467,Passeriformes,Fringillidae,House Finch,resident,frugivore,Standing on plant,Inactivity,shrub,vegetative,shrub,shrub,75,281-288,6,8:14,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
167flower,167,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34.77856,-115.6641,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Calling,Territorial/mating,shrub,vegetative,shrub,shrub,na,281.282,6,8:24,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
167fruit,167,8/19/2019,8,19,8.19.6,summer,36,6:30,8:30,34.77914,-115.66403,Passeriformes,Icteridae,Scott's Oriole,summer resident,omnivore,Eating fruit,Feeding,shrub,vegetative,shrub,shrub,50,292-300,6,8:22,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
168flower,168,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34,-115,Apodiformes,Trochilidae,Unknown Hummingbird,summer resident,nectarivore,Flying,Active movement,shrub,vegetative,shrub,shrub,na,283.291,6,8:25,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
168fruit,168,8/19/2019,8,19,8.19.6,summer,36,6:30,8:30,34.77914,-115.66403,Passeriformes,Icteridae,Scott's Oriole,summer resident,omnivore,Eating fruit,Feeding,shrub,vegetative,shrub,shrub,50,292-300,6,8:22,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
169flower,169,5/2/2019,5,2,5.2.8,spring,5,8:36,10:36,34.77857,-115.66254,Passeriformes,Tyrannidae,Say's Phoebe,resident,insectivore,Flying between plants,Active movement,shrub,vegetative,shrub,shrub,na,292.31,8,8:44,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
