,X,Hour.of.Day.Ending.at.LST,Hour,Total.Solar.Rad..ly,X.Wind.Ave.mph,X.Wind.V.Dir.Deg,X.Wind.Max.mph,Air.Temperature.Mean.Deg.F,Soil.Temperature.Mean.Deg.F,Relative.Humidity.Mean.Perent,X.Dew.Point.Deg.F,X.Wet.Bulb.Deg.F,X.Baro.Press.in.Hg,X.Total.Preip.inhes,day,month,year,month.day.hour
45,251,9:00 PM,21,0,15,280,33,53.3,62.5,41,30,42,25.54,0,2,4,19,4.2.21
46,261,10:00 PM,22,0,10,277,23.2,51.6,62.3,44,30,41,25.55,0,2,4,19,4.2.22
47,271,11:00 PM,23,0,8.5,286,24.6,50.1,61.9,50,32,41,25.56,0,2,4,19,4.2.23
48,281,12:00 AM,0,0,7.7,301,25.1,48.9,61.4,55,34,41,25.55,0,2,4,19,4.2.0
49,52,1:00 AM,1,0,14.7,298,40.1,47.8,61,58,34,41,25.54,0,3,4,19,4.3.1
50,62,2:00 AM,2,0,24,313,36.8,47.8,60.5,54,32,40,25.54,0,3,4,19,4.3.2
51,72,3:00 AM,3,0,26.3,310,39.3,47.4,60.1,53,31,40,25.54,0,3,4,19,4.3.3
52,82,4:00 AM,4,0,26.2,309,37.9,46.4,59.6,57,32,39,25.54,0,3,4,19,4.3.4
53,92,5:00 AM,5,0,19.6,305,34,46.7,59.1,57,32,40,25.57,0,3,4,19,4.3.5
54,102,6:00 AM,6,0.8,16.5,306,25.7,48.3,58.7,52,31,40,25.59,0,3,4,19,4.3.6
55,112,7:00 AM,7,16.3,15.3,300,24.4,50.1,58.2,50,32,41,25.62,0,3,4,19,4.3.7
56,122,8:00 AM,8,32.5,16.1,308,25.2,52,57.8,48,33,42,25.64,0,3,4,19,4.3.8
57,132,9:00 AM,9,49.5,12.2,299,21.9,56.1,57.5,40,32,44,25.66,0,3,4,19,4.3.9
58,142,10:00 AM,10,62.3,7.5,300,15.7,59.6,57.2,33,30,45,25.68,0,3,4,19,4.3.10
59,152,11:00 AM,11,67.6,4.8,184,17.8,61.1,57.1,33,32,46,25.69,0,3,4,19,4.3.11
60,162,12:00 PM,12,68.9,4.5,209,13.1,61.1,57.4,34,33,46,25.7,0,3,4,19,4.3.12
61,172,1:00 PM,13,71.2,4.3,197,11.9,62.9,57.8,31,32,47,25.7,0,3,4,19,4.3.13
62,182,2:00 PM,14,61,4.1,203,14,63.6,58.5,28,30,46,25.69,0,3,4,19,4.3.14
63,192,3:00 PM,15,53.8,4.8,240,15.7,64.2,59.4,27,30,47,25.67,0,3,4,19,4.3.15
64,202,4:00 PM,16,33,4.5,217,14.5,63.5,60.4,26,28,46,25.67,0,3,4,19,4.3.16
65,212,5:00 PM,17,21.8,4.5,226,10.5,62.2,61.3,27,28,45,25.67,0,3,4,19,4.3.17
66,222,6:00 PM,18,4.3,3.2,223,10.3,60.1,62.1,27,26,44,25.68,0,3,4,19,4.3.18
67,232,7:00 PM,19,0.1,1.2,105,4.6,56.9,62.5,30,26,42,25.68,0,3,4,19,4.3.19
68,242,8:00 PM,20,0,0.3,36,2,51.8,62.7,40,28,41,25.7,0,3,4,19,4.3.20
69,252,9:00 PM,21,0,1.3,279,3.8,51.3,62.6,42,29,41,25.72,0,3,4,19,4.3.21
70,262,10:00 PM,22,0,1.4,277,3.1,50.4,62.4,44,29,40,25.72,0,3,4,19,4.3.22
71,272,11:00 PM,23,0,1.8,283,3.8,50.2,62,45,30,40,25.72,0,3,4,19,4.3.23
72,282,12:00 AM,0,0,2,290,3.8,49.4,61.5,47,30,40,25.72,0,3,4,19,4.3.0
73,53,1:00 AM,1,0,1.5,284,5.6,48,61,51,31,40,25.72,0,4,4,19,4.4.1
74,63,2:00 AM,2,0,0.6,31,3.9,49,60.5,53,33,41,25.71,0,4,4,19,4.4.2
75,73,3:00 AM,3,0,1,64,5.8,51.9,59.9,49,33,43,25.7,0,4,4,19,4.4.3
76,83,4:00 AM,4,0,2.5,89,5.8,51.4,59.4,47,32,42,25.69,0,4,4,19,4.4.4
77,93,5:00 AM,5,0,0.6,140,3.4,49.1,59,51,32,41,25.7,0,4,4,19,4.4.5
78,103,6:00 AM,6,0.5,1.9,106,7.8,49.2,58.6,52,33,41,25.7,0,4,4,19,4.4.6
79,113,7:00 AM,7,4.8,2.4,87,8.7,51.6,58.1,54,35,43,25.71,0,4,4,19,4.4.7
80,123,8:00 AM,8,19.1,1.7,168,8.8,54.1,57.7,50,36,45,25.71,0,4,4,19,4.4.8
81,133,9:00 AM,9,34.5,3.7,153,13.7,56.5,57.4,45,35,45,25.72,0,4,4,19,4.4.9
82,143,10:00 AM,10,44.5,6,125,18.7,57.1,57.2,43,35,46,25.73,0,4,4,19,4.4.10
83,153,11:00 AM,11,69.6,5.3,157,21.9,59.9,57.1,38,34,47,25.72,0,4,4,19,4.4.11
84,163,12:00 PM,12,70.7,7.7,122,23.5,60.7,57.3,36,34,47,25.71,0,4,4,19,4.4.12
85,173,1:00 PM,13,75.5,6.7,139,19.7,61.9,57.6,32,31,46,25.69,0,4,4,19,4.4.13
86,183,2:00 PM,14,69.3,7.1,134,18.4,62.4,58.4,29,30,46,25.67,0,4,4,19,4.4.14
87,193,3:00 PM,15,57.9,7.9,143,22.9,62.7,59.3,28,29,46,25.65,0,4,4,19,4.4.15
88,203,4:00 PM,16,42.4,10.3,119,24.9,62.7,60.4,28,29,46,25.63,0,4,4,19,4.4.16
89,213,5:00 PM,17,20.1,8.2,116,24.8,61.5,61.3,29,29,45,25.62,0,4,4,19,4.4.17
90,223,6:00 PM,18,4.6,3.7,94,13.2,59.7,62.1,27,25,43,25.62,0,4,4,19,4.4.18
91,233,7:00 PM,19,0.1,2.7,98,9.2,57.2,62.7,21,17,40,25.62,0,4,4,19,4.4.19
92,243,8:00 PM,20,0,2,3,5.7,55.7,62.9,22,18,40,25.62,0,4,4,19,4.4.20
93,253,9:00 PM,21,0,1.6,306,6.4,54.7,62.9,31,25,41,25.62,0,4,4,19,4.4.21
94,263,10:00 PM,22,0,7.1,291,12.1,52.9,62.6,43,31,42,25.62,0,4,4,19,4.4.22
95,273,11:00 PM,23,0,5.2,269,11.5,52.4,62.3,45,32,42,25.61,0,4,4,19,4.4.23
96,283,12:00 AM,0,0,3.3,271,6.9,52.5,61.9,46,32,42,25.6,0,4,4,19,4.4.0
97,54,1:00 AM,1,0,2.7,247,8.7,52.1,61.6,46,32,42,25.6,0,5,4,19,4.5.1
98,64,2:00 AM,2,0,9.2,296,16.2,49.2,61.2,52,32,41,25.59,0,5,4,19,4.5.2
99,74,3:00 AM,3,0,13.3,315,22.4,48,60.8,55,33,40,25.58,0,5,4,19,4.5.3
100,84,4:00 AM,4,0,12.4,312,25.7,47.4,60.5,57,33,40,25.58,0,5,4,19,4.5.4
101,94,5:00 AM,5,0,19.2,313,29,45.8,60.1,60,33,39,25.58,0,5,4,19,4.5.5
102,104,6:00 AM,6,1.2,18.5,313,30,45.6,59.7,62,33,40,25.59,0,5,4,19,4.5.6
103,114,7:00 AM,7,13.6,13,314,24.1,47.6,59.3,59,34,41,25.6,0,5,4,19,4.5.7
104,124,8:00 AM,8,28.9,8.9,323,16.7,50.6,58.9,53,34,42,25.61,0,5,4,19,4.5.8
105,134,9:00 AM,9,46.7,4.6,285,14.2,54,58.5,47,34,44,25.62,0,5,4,19,4.5.9
106,144,10:00 AM,10,62.4,5.4,122,13.8,56,58.2,45,35,45,25.63,0,5,4,19,4.5.10
107,154,11:00 AM,11,72.3,4.3,101,10.9,57.9,58.1,42,35,46,25.64,0,5,4,19,4.5.11
108,164,12:00 PM,12,66.8,6.3,47,16.2,57.5,58.3,44,36,46,25.63,0,5,4,19,4.5.12
109,174,1:00 PM,13,79.6,5.1,198,15.4,61,58.7,36,34,47,25.62,0,5,4,19,4.5.13
110,184,2:00 PM,14,68.8,7.3,279,15.4,61.1,59.4,36,34,47,25.61,0,5,4,19,4.5.14
111,194,3:00 PM,15,48.8,6.3,252,15.3,61.4,60.3,35,33,47,25.59,0,5,4,19,4.5.15
112,204,4:00 PM,16,28.3,7.6,277,21.2,60.4,61.3,36,33,46,25.59,0,5,4,19,4.5.16
113,214,5:00 PM,17,12.1,6,270,13.7,59.1,62.2,37,33,46,25.6,0,5,4,19,4.5.17
114,224,6:00 PM,18,4.3,7.7,282,17.8,57.4,62.9,41,34,45,25.6,0,5,4,19,4.5.18
115,234,7:00 PM,19,0.1,12.4,314,20.2,54.6,63.3,45,34,44,25.59,0,5,4,19,4.5.19
116,244,8:00 PM,20,0,14.3,324,23.5,53.2,63.5,46,33,43,25.6,0,5,4,19,4.5.20
117,254,9:00 PM,21,0,18.1,308,28.7,50.3,63.4,56,35,43,25.62,0,5,4,19,4.5.21
118,264,10:00 PM,22,0,17.7,312,31.6,49.2,63.2,58,35,42,25.63,0,5,4,19,4.5.22
119,274,11:00 PM,23,0,20.7,311,34.9,47.6,62.8,61,35,41,25.63,0,5,4,19,4.5.23
120,284,12:00 AM,0,0,23,310,32.9,46.5,62.4,61,34,40,25.63,0,5,4,19,4.5.0
121,55,1:00 AM,1,0,20,310,30.2,47.5,62,55,32,40,25.61,0,6,4,19,4.6.1
122,65,2:00 AM,2,0,16.5,309,29.2,46.7,61.5,58,33,40,25.6,0,6,4,19,4.6.2
123,75,3:00 AM,3,0,16.1,307,27,47,61.1,55,32,40,25.61,0,6,4,19,4.6.3
124,85,4:00 AM,4,0,21.4,313,30.1,46.4,60.6,58,32,40,25.62,0,6,4,19,4.6.4
125,95,5:00 AM,5,0,18.9,313,28.1,48.6,60.1,52,32,40,25.63,0,6,4,19,4.6.5
126,105,6:00 AM,6,0.8,17.7,313,28.2,50,59.7,52,33,42,25.64,0,6,4,19,4.6.6
127,115,7:00 AM,7,16.3,16.7,310,25.9,51.4,59.2,53,35,43,25.66,0,6,4,19,4.6.7
128,125,8:00 AM,8,34.3,18.1,312,28.2,52.6,58.8,53,36,44,25.69,0,6,4,19,4.6.8
129,135,9:00 AM,9,51.2,17.7,313,26.4,54.8,58.5,48,36,45,25.71,0,6,4,19,4.6.9
130,145,10:00 AM,10,64.1,12.8,317,24.1,57.5,58.3,43,35,46,25.72,0,6,4,19,4.6.10
131,155,11:00 AM,11,73.9,8.7,319,18.6,60.5,58.1,34,32,46,25.73,0,6,4,19,4.6.11
132,165,12:00 PM,12,73.9,7.9,339,16.6,62.5,58.4,32,33,47,25.72,0,6,4,19,4.6.12
133,175,1:00 PM,13,73.4,9.3,309,21.7,64.6,58.8,20,22,45,25.72,0,6,4,19,4.6.13
134,185,2:00 PM,14,70.1,8.2,300,17.4,64.7,59.6,20,23,45,25.71,0,6,4,19,4.6.14
135,195,3:00 PM,15,57.9,10.1,307,22.6,64.8,60.5,21,24,45,25.71,0,6,4,19,4.6.15
136,205,4:00 PM,16,42.4,11.1,306,26.8,64.4,61.5,21,24,45,25.71,0,6,4,19,4.6.16
137,215,5:00 PM,17,23.7,10.4,301,22.9,62.9,62.6,20,21,44,25.72,0,6,4,19,4.6.17
138,225,6:00 PM,18,2.9,4.5,268,12.1,60.8,63.4,20,19,42,25.72,0,6,4,19,4.6.18
139,235,7:00 PM,19,0.1,3.6,158,10.3,59.6,63.9,21,20,42,25.74,0,6,4,19,4.6.19
140,245,8:00 PM,20,0,2.8,283,9.1,56.2,64.2,25,21,41,25.76,0,6,4,19,4.6.20
141,255,9:00 PM,21,0,10.2,316,18.3,59.2,64.1,22,21,42,25.78,0,6,4,19,4.6.21
142,265,10:00 PM,22,0,13,317,20.4,59.2,63.9,24,22,42,25.79,0,6,4,19,4.6.22
143,275,11:00 PM,23,0,14.1,312,20.2,57.9,63.5,29,26,43,25.81,0,6,4,19,4.6.23
144,285,12:00 AM,0,0,11.3,317,16.7,58.1,63.1,30,27,43,25.82,0,6,4,19,4.6.0
145,56,1:00 AM,1,0,7.8,317,13.2,58.1,62.7,29,26,43,25.82,0,7,4,19,4.7.1
146,66,2:00 AM,2,0,7.9,318,14,58.3,62.3,29,26,43,25.83,0,7,4,19,4.7.2
147,76,3:00 AM,3,0,7.4,309,13.2,57.6,62,31,27,43,25.83,0,7,4,19,4.7.3
148,86,4:00 AM,4,0,2.9,349,8.3,56.6,61.6,32,27,43,25.83,0,7,4,19,4.7.4
149,96,5:00 AM,5,0,6,294,10.3,55.2,61.2,34,27,42,25.83,0,7,4,19,4.7.5
150,106,6:00 AM,6,1.2,4.8,269,9.9,55.3,60.9,34,27,42,25.86,0,7,4,19,4.7.6
151,116,7:00 AM,7,16.4,2.3,278,4.7,60.9,60.4,29,29,45,25.87,0,7,4,19,4.7.7
152,126,8:00 AM,8,34.1,2.3,118,6.4,66.3,60,23,27,47,25.89,0,7,4,19,4.7.8
153,136,9:00 AM,9,52.6,3.2,201,10.9,68,59.7,23,29,48,25.9,0,7,4,19,4.7.9
154,146,10:00 AM,10,65.9,3.4,213,9.3,68.7,59.5,23,29,48,25.9,0,7,4,19,4.7.10
155,156,11:00 AM,11,69.7,5,217,14.1,69.5,59.5,22,29,49,25.9,0,7,4,19,4.7.11
156,166,12:00 PM,12,62.1,4.8,217,12.7,70.1,59.7,22,29,49,25.9,0,7,4,19,4.7.12
157,176,1:00 PM,13,76.7,4.1,195,11.3,71.4,60.3,21,30,50,25.89,0,7,4,19,4.7.13
158,186,2:00 PM,14,71,3.7,230,9.5,72.7,61,20,29,50,25.87,0,7,4,19,4.7.14
159,196,3:00 PM,15,59.8,7.9,292,17.6,73.6,62,19,29,50,25.87,0,7,4,19,4.7.15
160,206,4:00 PM,16,40.9,9.4,300,18.4,72.1,63.1,19,28,49,25.86,0,7,4,19,4.7.16
161,216,5:00 PM,17,18.8,10.2,313,18.9,69.8,64.1,20,27,48,25.85,0,7,4,19,4.7.17
162,226,6:00 PM,18,4.5,8.7,305,15,68.1,65.1,21,26,47,25.84,0,7,4,19,4.7.18
163,236,7:00 PM,19,0.1,8.2,322,16.7,67.3,65.7,21,26,47,25.84,0,7,4,19,4.7.19
164,246,8:00 PM,20,0,11.2,306,18.6,66.4,66,23,27,47,25.86,0,7,4,19,4.7.20
165,256,9:00 PM,21,0,9.2,295,18.6,65.4,66.1,23,27,46,25.87,0,7,4,19,4.7.21
166,266,10:00 PM,22,0,9.8,314,16.6,66,65.9,22,26,46,25.88,0,7,4,19,4.7.22
167,276,11:00 PM,23,0,9.2,316,15.3,66.3,65.6,21,26,46,25.88,0,7,4,19,4.7.23
168,286,12:00 AM,0,0,10.4,311,16.6,65.8,65.3,23,27,47,25.88,0,7,4,19,4.7.0
169,57,1:00 AM,1,0,9,312,14.6,65.1,65,24,27,46,25.87,0,8,4,19,4.8.1
170,67,2:00 AM,2,0,5.8,274,8.8,62.8,64.6,25,26,45,25.86,0,8,4,19,4.8.2
171,77,3:00 AM,3,0,4.5,275,8,59.7,64.3,28,27,44,25.85,0,8,4,19,4.8.3
172,87,4:00 AM,4,0,5.6,281,7.4,56.1,63.9,30,25,42,25.85,0,8,4,19,4.8.4
173,97,5:00 AM,5,0,5.8,277,7.3,54.7,63.5,31,25,41,25.85,0,8,4,19,4.8.5
174,107,6:00 AM,6,1.5,5.4,281,6.7,56.1,63.1,27,22,41,25.85,0,8,4,19,4.8.6
175,117,7:00 AM,7,18,3.7,288,5.8,65,62.6,22,24,45,25.87,0,8,4,19,4.8.7
176,127,8:00 AM,8,35.6,1.6,33,6.4,74.8,62.1,14,22,49,25.88,0,8,4,19,4.8.8
177,137,9:00 AM,9,52.8,3.6,141,8.3,75.2,61.7,15,24,50,25.88,0,8,4,19,4.8.9
178,147,10:00 AM,10,60.1,3.2,147,11.1,76.1,61.4,16,26,51,25.89,0,8,4,19,4.8.10
179,157,11:00 AM,11,59.6,3.8,188,10.2,75.6,61.4,16,26,50,25.88,0,8,4,19,4.8.11
180,167,12:00 PM,12,64.7,4,200,12.7,76.9,61.6,14,24,50,25.87,0,8,4,19,4.8.12
181,177,1:00 PM,13,63.7,3.9,200,11.8,77.4,62.1,11,20,50,25.85,0,8,4,19,4.8.13
182,187,2:00 PM,14,69.5,3.5,220,14.5,78.3,62.8,11,20,50,25.84,0,8,4,19,4.8.14
183,197,3:00 PM,15,45.2,4.4,239,13.7,77.6,63.8,12,20,50,25.82,0,8,4,19,4.8.15
184,207,4:00 PM,16,35.3,5.1,260,13.4,77.5,64.8,11,20,50,25.81,0,8,4,19,4.8.16
185,217,5:00 PM,17,26.2,4.5,258,12,77.6,65.7,12,22,50,25.79,0,8,4,19,4.8.17
186,227,6:00 PM,18,2.7,5.4,278,12.1,73.4,66.6,16,25,49,25.78,0,8,4,19,4.8.18
187,237,7:00 PM,19,0.1,5.6,278,10.4,70.1,67.2,21,28,49,25.78,0,8,4,19,4.8.19
188,247,8:00 PM,20,0,7.9,293,13.1,68.8,67.5,23,30,49,25.79,0,8,4,19,4.8.20
189,257,9:00 PM,21,0,10.8,292,19.4,68.6,67.6,26,32,49,25.79,0,8,4,19,4.8.21
190,267,10:00 PM,22,0,18.1,301,33,68.2,67.5,26,32,49,25.78,0,8,4,19,4.8.22
191,277,11:00 PM,23,0,20.1,303,29.2,67.5,67.3,25,30,48,25.76,0,8,4,19,4.8.23
192,287,12:00 AM,0,0,19.7,297,30.2,68.1,67,22,28,48,25.75,0,8,4,19,4.8.0
193,58,1:00 AM,1,0,17.7,289,28.9,67.4,66.7,22,27,47,25.74,0,9,4,19,4.9.1
194,68,2:00 AM,2,0,19.5,302,30.8,65.3,66.4,27,30,47,25.72,0,9,4,19,4.9.2
195,78,3:00 AM,3,0,22.4,300,35,65.8,66.1,25,29,47,25.69,0,9,4,19,4.9.3
196,88,4:00 AM,4,0,21.9,300,36.6,65.5,65.8,25,29,47,25.68,0,9,4,19,4.9.4
197,98,5:00 AM,5,0,16.5,292,28.1,65.4,65.5,26,30,47,25.68,0,9,4,19,4.9.5
198,108,6:00 AM,6,1.3,18.8,291,38.6,65.2,65.2,25,28,47,25.66,0,9,4,19,4.9.6
199,118,7:00 AM,7,14.8,16.8,295,33.2,65,65,27,30,47,25.67,0,9,4,19,4.9.7
200,128,8:00 AM,8,37.1,18,301,29.9,64.9,64.7,32,34,48,25.67,0,9,4,19,4.9.8
201,138,9:00 AM,9,53.4,19.7,303,32.9,65.2,64.5,31,34,48,25.66,0,9,4,19,4.9.9
202,148,10:00 AM,10,67.8,17.3,280,35,69,64.2,19,25,47,25.66,0,9,4,19,4.9.10
203,158,11:00 AM,11,76.6,16,278,44.7,70.5,64.2,14,20,47,25.65,0,9,4,19,4.9.11
204,168,12:00 PM,12,80,12.4,276,35.1,70.7,64.4,16,22,47,25.63,0,9,4,19,4.9.12
205,178,1:00 PM,13,79.3,16,284,33.9,71.2,64.8,18,25,48,25.6,0,9,4,19,4.9.13
206,188,2:00 PM,14,51,19,286,36.3,69,65.5,22,29,48,25.58,0,9,4,19,4.9.14
207,198,3:00 PM,15,52,22.4,299,41.2,65.5,66.3,28,31,48,25.55,0,9,4,19,4.9.15
208,208,4:00 PM,16,44.6,27.1,308,42.4,62.2,67.2,29,30,46,25.53,0,9,4,19,4.9.16
209,218,5:00 PM,17,23.8,23.5,304,38.9,59.4,67.8,30,28,44,25.53,0,9,4,19,4.9.17
210,228,6:00 PM,18,3.7,28.6,298,46.6,54.9,68.4,21,15,39,25.52,0,9,4,19,4.9.18
211,238,7:00 PM,19,0.2,30.8,300,48.1,51.1,68.6,26,17,37,25.5,0,9,4,19,4.9.19
212,248,8:00 PM,20,0,30.1,291,46.6,48.8,68.6,32,20,37,25.5,0,9,4,19,4.9.20
213,258,9:00 PM,21,0,27.2,281,44.6,48.3,68.3,30,19,36,25.51,0,9,4,19,4.9.21
214,268,10:00 PM,22,0,28,293,50.5,48.6,67.8,29,18,36,25.53,0,9,4,19,4.9.22
215,278,11:00 PM,23,0,18.6,279,61.1,49,67.2,24,14,35,25.55,0,9,4,19,4.9.23
216,288,12:00 AM,0,0,18.1,296,52.4,48.4,66.5,23,12,35,25.56,0,9,4,19,4.9.0
217,59,1:00 AM,1,0,16.6,274,57.1,47.3,65.9,24,13,34,25.58,0,10,4,19,4.10.1
218,69,2:00 AM,2,0,13.5,285,55,46.2,65.3,26,13,34,25.59,0,10,4,19,4.10.2
219,79,3:00 AM,3,0,16.5,288,50.4,45.1,64.7,28,14,33,25.6,0,10,4,19,4.10.3
220,89,4:00 AM,4,0,19.1,278,65.4,44.1,64.1,31,15,33,25.6,0,10,4,19,4.10.4
221,99,5:00 AM,5,0,15.2,286,46.3,42.9,63.5,35,17,33,25.62,0,10,4,19,4.10.5
222,109,6:00 AM,6,2.3,20.3,280,53.4,42.5,63,37,18,33,25.64,0,10,4,19,4.10.6
223,119,7:00 AM,7,18.3,15.9,280,45,43.6,62.3,35,18,33,25.66,0,10,4,19,4.10.7
224,129,8:00 AM,8,36.8,11.9,284,45.5,45.3,61.8,32,17,34,25.67,0,10,4,19,4.10.8
225,139,9:00 AM,9,53.7,11.6,285,44.2,46.8,61.3,29,16,35,25.69,0,10,4,19,4.10.9
226,149,10:00 AM,10,67.2,13.2,289,34,48.4,60.9,26,15,35,25.7,0,10,4,19,4.10.10
227,159,11:00 AM,11,76.1,12.5,259,36,50.1,60.6,23,13,36,25.71,0,10,4,19,4.10.11
228,169,12:00 PM,12,79.7,12,301,40.4,51.9,60.6,19,11,36,25.71,0,10,4,19,4.10.12
229,179,1:00 PM,13,78.3,9.6,265,39.2,53.6,60.9,17,10,37,25.7,0,10,4,19,4.10.13
230,189,2:00 PM,14,72.1,10,257,31.6,55.2,61.5,15,9,37,25.7,0,10,4,19,4.10.14
231,199,3:00 PM,15,60.5,10.9,282,34.9,56.3,62.3,14,7,38,25.69,0,10,4,19,4.10.15
232,209,4:00 PM,16,44.5,8.1,236,25.2,57.3,63.3,13,7,38,25.68,0,10,4,19,4.10.16
233,219,5:00 PM,17,24.8,7.6,278,38.5,56.5,64.1,13,6,38,25.67,0,10,4,19,4.10.17
234,229,6:00 PM,18,4.8,10.5,243,45.5,55.2,64.9,12,3,37,25.66,0,10,4,19,4.10.18
235,239,7:00 PM,19,0.2,10.8,214,31,54.5,65.4,12,3,36,25.66,0,10,4,19,4.10.19
236,249,8:00 PM,20,0,9.8,253,31,54,65.6,12,2,36,25.68,0,10,4,19,4.10.20
